term_id,source_key,is_primary,source_url
WG-0001,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0001,AOS,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://malifauxrules.com/rules/sections/2-glossary | https://infinitythewiki.com/Introduction
WG-0001,MALIFAUX,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://malifauxrules.com/rules/sections/2-glossary | https://infinitythewiki.com/Introduction
WG-0001,INF-WIKI,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://malifauxrules.com/rules/sections/2-glossary | https://infinitythewiki.com/Introduction
WG-0002,LEGION,1,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf
WG-0002,40K-QS,0,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0003,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0003,AOS,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2020/04/KoW-3-Free-Rules-Download.pdf
WG-0003,LEGION,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2020/04/KoW-3-Free-Rules-Download.pdf
WG-0003,KOW,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://www.manticgames.com/wp-content/uploads/woocommerce_uploads/2020/04/KoW-3-Free-Rules-Download.pdf
WG-0004,INF-N5,1,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0004,INF-WIKI,0,https://infinitythewiki.com/Introduction
WG-0005,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0005,MCP,0,https://www.atomicmassgames.com/mcp-rules/ | https://malifauxrules.com/rules/sections/2-glossary
WG-0005,MALIFAUX,0,https://www.atomicmassgames.com/mcp-rules/ | https://malifauxrules.com/rules/sections/2-glossary
WG-0006,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0006,LEGION,0,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/
WG-0006,BOLT,0,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://warlord-community.warlordgames.com/bolt-action-third-edition-digital-resources/
WG-0007,MALIFAUX,1,https://malifauxrules.com/rules/sections/2-glossary
WG-0008,MALIFAUX,1,https://malifauxrules.com/rules/sections/2-glossary
WG-0009,MALIFAUX,1,https://malifauxrules.com/rules/sections/2-glossary
WG-0009,40K-QS,0,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0009,INF-N5,0,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0010,MALIFAUX,1,https://malifauxrules.com/rules/sections/2-glossary
WG-0010,40K-QS,0,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0010,INF-N5,0,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0011,MALIFAUX,1,https://malifauxrules.com/rules/sections/2-glossary
WG-0011,INF-N5,0,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0012,INF-N5,1,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0013,INF-N5,1,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0014,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0014,INF-N5,0,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf | https://malifauxrules.com/rules/sections/2-glossary
WG-0014,MALIFAUX,0,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf | https://malifauxrules.com/rules/sections/2-glossary
WG-0015,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0015,MALIFAUX,0,https://malifauxrules.com/rules/sections/2-glossary
WG-0016,LEGION,1,https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf
WG-0016,MALIFAUX,0,https://malifauxrules.com/rules/sections/2-glossary
WG-0017,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0017,AOS,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://infinitythewiki.com/Introduction | https://malifauxrules.com/rules/sections/2-glossary
WG-0017,INF-WIKI,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://infinitythewiki.com/Introduction | https://malifauxrules.com/rules/sections/2-glossary
WG-0017,MALIFAUX,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://infinitythewiki.com/Introduction | https://malifauxrules.com/rules/sections/2-glossary
WG-0018,AOS,1,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf
WG-0018,INF-N5,0,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf | https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0018,40K-QS,0,https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf | https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0019,40K-QS,1,https://assets.warhammer-community.com/warhammer40000_core&key_quickstartguide_eng_24.09-s2afk26smk.pdf
WG-0019,AOS,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://malifauxrules.com/rules/sections/2-glossary | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
WG-0019,LEGION,0,https://assets.warhammer-community.com/ageofsigmar_corerules&keydownloads_therules_eng_24.09-tbf4egjql3.pdf | https://cdn.svc.asmodee.net/production-amgcom/uploads/2026/06/DOC56_SWQ_Rulebook-2.pdf | https://malifauxrules.com/rules/sections/2-glossary | https://downloads.corvusbelli.com/infinity/rules/infinity-rules-n5-en-v1.pdf
